RAW_SOURCE_EMPL_PERS,,,,,,,,,,,,,,,
EMPL_PERS_EID,EMPL_PERS_FNM,EMPL_PERS_LNM,EMPL_PERS_DOB,EMPL_PERS_GENCD,EMPL_PERS_EMAILP,EMPL_PERS_EMAILW,EMPL_PERS_MOBP,EMPL_PERS_MOBW,,,,,,,
E01,John,Doe,1990-05-15,M,john.doe12@gmail.com,john.doe@sandyconsultancy.com.au,"0432124987","0432456422",,,,,,,
E02,Jane,Smith,1992-08-22,F,jane.s@yahoo.com,jane.smith@sandyconsultancy.com.au,"0432987654","0432111222",,,,,,,
E03,Alex,Jones,1988-12-01,X,,alex.jones@sandyconsultancy.com.au,"0432555666","0432777888",,,,,,,
,,,,,,,,,,,,,,,
RAW_SOURCE_EMPL_ADDR,,,,,,,,,,,,,,,
EMPL_ADDR_EID,EMPL_ADDR_LN1,EMPL_ADDR_LN2,EMPL_ADDR_SUBRB,EMPL_ADDR_CITY,EMPL_ADDR_STATECD,EMPL_ADDR_POSTCD,EMPL_ADDR_CNTRYCD,EMPL_ADDR_RESFLG,EMPL_ADDR_BUSNFLG,,,,,,
E01,12 montpellier road,,Burwood,Melbourne,VIC,3125,AU,Y,,,,,,,
E01,unit 28,14 ashwood drive,Burwood,Melbourne,VIC,3125,AU,,Y,,,,,,
E02,456 Oak Ave,,Southbank,Melbourne,VIC,3006,AU,Y,,,,,,,
,,,,,,,,,,,,,,,
RAW_SOURCE_EMPL_ACC,,,,,,,,,,,,,,,
EMPL_ACC_EAID,EMPL_ACC_EID,EMPL_ACC_JONDAT,EMPL_ACC_CRDAT,EMPL_ACC_TDAT,EMPL_ACC_STA,EMPL_ACC_TYPE,,,,,,,,,
EA01,E01,2024-04-04,2024-04-06,,1,1,,,,,,,,,
EA02,E02,2024-05-10,2024-05-12,,1,1,,,,,,,,,
EA03,E03,2024-06-01,2024-06-02,,1,1,,,,,,,,,
,,,,,,,,,,,,,,,
RAW_SOURCE_EMPL_CAR,,,,,,,,,,,,,,,
EMPL_CAR_EAID,EMPL_CAR_ROLE,EMPL_CAR_STDAT,EMPL_CAR_RELSTDAT,EMPL_CAR_TRNFLG,,,,,,,,,,,
EA01,Data Analyst,2014-03-03,2022-08-03,Y,,,,,,,,,,,
EA02,Senior Data Analyst,2022-08-04,,N,,,,,,,,,,,
EA03,Data Engineer,2023-01-15,,N,,,,,,,,,,,
,,,,,,,,,,,,,,,
RAW_SOURCE_CLNT_PERS,,,,,,,,,,,,,,,
CLNT_PERS_CID,CLNT_PERS_RNAME,CLNT_PERS_ABN,CLNT_PERS_IND,CLNT_PERS_PORT,CLNT_PERS_EMAIL,CLNT_PERS_MOB,CLNT_PERS_WEBSITE,CLNT_PERS_ADDRLN1,CLNT_PERS_ADDRLN2,CLNT_PERS_SUBRB,CLNT_PERS_CITY,CLNT_PERS_STATECD,CLNT_PERS_POSTCD,CLNT_PERS_CNTRYCD,CLNT_PERS_MGRID
C01,Albert Technologies,47454759595,Finance,Albert Group Of Companies,infoenquires@alberttech.com.au,12354556,,100 Collins St,,CBD,Melbourne,VIC,3000,AU,99
C02,Beacon Enterprises,88123456789,Technology,Beacon Stream,contact@beacon.com.au,98765432,www.beacon.com.au,50 Lonsdale St,Level 12,CBD,Melbourne,VIC,3000,AU,99
,,,,,,,,,,,,,,,
RAW_SOURCE_CLNT_ACC,,,,,,,,,,,,,,,
CLNT_ACC_CAID,CLNT_ACC_CID,CLNT_ACC_ENGDT,CLNT_ACC_CRDAT,CLNT_ACC_TDAT,CLNT_ACC_STA,CLNT_ACC_TYPE,,,,,,,,,
CA01,C01,2024-01-15,2024-01-16,,ACTIVE,PREMIUM,,,,,,,,,
CA02,C02,2024-02-20,2024-02-21,,ACTIVE,STANDARD,,,,,,,,,
,,,,,,,,,,,,,,,
RAW_SOURCE_EMPL_ENG,,,,,,,,,,,,,,,
EMPL_ENG_EAID,EMPL_ENG_CAID,EMPL_ENG_CONSTDAT,EMPL_ENG_CONENDAT,EMPL_ENG_CLNT_MGRID,,,,,,,,,,
EA01,CA01,2024-01-15,2026-12-31,99,,,,,,,,,,
EA02,CA01,2024-02-15,2026-08-15,99,,,,,,,,,,
EA03,CA02,2024-03-01,2026-09-01,99,,,,,,,,,,
,,,,,,,,,,,,,,,
RAW_SOURCE_TMST,,,,,,,,,,,,,,,
TMST_ID,TMST_EAID,TMST_TRNID,TMST_DAT,TMST_WRKHRS,TMST_BILHRS,TMST_STATUS,TMST_ACCTYPE,,,,,,,,
1001,EA01,TRN-001,2026-07-10,40.00,40.00,APPROVED,BILLABLE,,,,,,,,
1002,EA02,TRN-002,2026-07-10,37.50,35.00,APPROVED,BILLABLE,,,,,,,,
1003,EA03,TRN-003,2026-07-10,45.00,40.00,APPROVED,BILLABLE,,,,,,,,
,,,,,,,,,,,,,,,
RAW_SOURCE_EMPL_INV,,,,,,,,,,,,,,,
EMPL_INV_EAID,EMPL_INV_TYPE,EMPL_INV_PCT,EMPL_INV_TERM,EMPL_INV_GUARAMT,,,,,,,,,,,
EA01,GROWTH_BOND,50.00,24,15000.00,,,,,,,,,,,
EA02,BALANCED_MUTUAL,30.00,12,5000.00,,,,,,,,,,,
EA03,SECURE_RETIRE,100.00,36,50000.00,,,,,,,,,,,
,,,,,,,,,,,,,,,
RAW_SOURCE_EMPL_INS,,,,,,,,,,,,,,,
EMPL_INS_EAID,EMPL_INS_TYPE,EMPL_INS_PCT,EMPL_INS_COVER,EMPL_INS_PREM,,,,,,,,,,,
EA01,HEALTH_GOLD,100.00,500000.00,350.00,,,,,,,,,,,
EA02,HEALTH_SILVER,80.00,250000.00,220.00,,,,,,,,,,,
EA03,HEALTH_PLATINUM,100.00,1000000.00,500.00,,,,,,,,,,,
,,,,,,,,,,,,,,,
RAW_SOURCE_EMPL_BILL,,,,,,,,,,,,,,,
EMPL_BILL_ID,EMPL_BILL_TRNTYP,EMPL_BILL_PRICTYPE,EMPL_BILL_UNITTYPE,EMPL_BILL_VALUE,EMPL_BILL_STDAT,EMPL_BILL_ENDAT,,,,,,,,,
201,CONSULTING,HOURLY,TIME,150.00,2024-01-01,,,,,,,,,,
202,CONSULTING,HOURLY,TIME,200.00,2024-02-15,,,,,,,,,,
203,MANAGEMENT,HOURLY,TIME,300.00,2024-03-01,,,,,,,,,,
,,,,,,,,,,,,,,,
RAW_SOURCE_OTRN,,,,,,,,,,,,,,,
OTRN_ID,OTRN_PYRAID,OTRN_PYEAID,OTRN_TRNTYP,OTRN_TRNSTA,OTRN_TRNAMT,OTRN_TRNSEQ,,,,,,,,,
9001,CA01,EA01,INVOICE,PAID,6000.00,1,,,,,,,,,
9002,CA01,EA02,INVOICE,PAID,7000.00,2,,,,,,,,,
9003,CA02,EA03,INVOICE,PENDING,12000.00,1,,,,,,,,,
